,driver_standings)_id,race_id,driver_id,points,position,position_text,wins
955,13095,65,34,0.0,23,23,0
956,13094,65,27,0.0,21,21,0
957,13093,65,35,7.0,14,14,0
958,13092,65,21,49.0,4,4,1
959,13091,65,11,0.0,22,22,0
960,13090,65,33,0.0,20,20,0
961,13089,65,15,10.0,13,13,0
962,13088,65,22,21.0,8,8,0
963,13087,65,23,16.0,10,10,0
964,13086,65,26,0.0,19,19,0
965,13085,65,2,19.0,9,9,0
966,13084,65,24,1.0,18,18,0
967,13083,65,14,14.0,11,11,0
968,13082,65,13,52.0,3,3,0
969,13081,65,32,2.0,17,17,0
970,13080,65,3,4.0,16,16,0
971,13079,65,17,6.0,15,15,0
972,13078,65,31,26.0,7,7,0
973,13077,65,18,31.0,6,6,1
974,13076,65,8,49.0,5,5,0
975,13075,65,30,90.0,2,2,5
976,13074,65,4,100.0,1,1,6
977,13122,66,9,0.0,23,23,0
978,13121,66,37,14.0,11,11,0
979,13120,66,36,0.0,25,25,0
980,13119,66,34,0.0,24,24,0
981,13118,66,27,0.0,21,21,0
982,13117,66,35,7.0,14,14,0
983,13116,66,21,52.0,4,4,1
984,13115,66,11,0.0,22,22,0
985,13114,66,33,0.0,20,20,0
986,13113,66,15,10.0,13,13,0
987,13112,66,22,22.0,8,8,0
988,13111,66,23,18.0,10,10,0
989,13110,66,26,0.0,19,19,0
990,13109,66,2,19.0,9,9,0
991,13108,66,24,1.0,18,18,0
992,13107,66,14,14.0,12,12,0
993,13106,66,13,62.0,3,3,1
994,13105,66,32,2.0,17,17,0
995,13104,66,3,4.0,16,16,0
996,13103,66,17,6.0,15,15,0
997,13102,66,31,26.0,7,7,0
998,13101,66,18,36.0,6,6,1
999,13100,66,8,49.0,5,5,0
1000,13099,66,30,96.0,2,2,5
1001,13098,66,4,108.0,1,1,6
1002,13147,67,9,6.0,15,15,0
1003,13146,67,37,14.0,11,11,0
1004,13145,67,36,0.0,25,25,0
1005,13144,67,34,0.0,24,24,0
1006,13143,67,27,0.0,22,22,0
1007,13142,67,35,7.0,14,14,0
1008,13141,67,21,57.0,4,4,1
1009,13140,67,11,0.0,23,23,0
1010,13139,67,33,0.0,21,21,0
1011,13138,67,15,12.0,13,13,0
1012,13137,67,22,25.0,8,8,0
1013,13136,67,23,18.0,10,10,0
1014,13135,67,26,0.0,20,20,0
1015,13134,67,2,20.0,9,9,0
1016,13133,67,24,1.0,19,19,0
1017,13132,67,14,14.0,12,12,0
1018,13131,67,13,62.0,3,3,1
1019,13130,67,32,2.0,18,18,0
1020,13129,67,3,4.0,17,17,0
1021,13128,67,17,6.0,16,16,0
